Record,Spam,Recipients,Hyperlinks,Characters
163,0,13,0,101
164,1,12,8,61
165,1,13,4,99
166,1,14,1,54
167,0,17,3,33
168,0,13,6,86
169,1,13,12,32
170,1,13,9,43
171,0,13,3,73
172,1,12,11,29
173,1,12,9,90
174,1,13,5,100
175,1,23,6,63
176,0,12,2,66
177,1,23,12,36
178,0,13,3,63
179,0,12,9,73
180,0,12,6,85
181,1,18,8,43
182,1,16,9,51
183,1,26,3,27
184,1,16,8,34
185,1,19,7,46
186,1,12,12,46
187,0,14,8,57
188,0,12,5,32
189,1,12,9,25
190,0,13,1,43
191,1,12,9,21
192,1,16,11,48
193,0,23,3,81
194,1,12,10,31
195,1,12,7,35
196,1,12,10,89
197,1,14,3,28
198,0,12,4,26
199,0,13,10,66
200,1,19,6,38
201,0,15,5,53
202,0,13,5,51
203,0,23,0,45
204,0,12,3,83
205,1,13,6,97
206,0,13,4,78
207,1,17,9,50
208,1,17,11,101
209,0,14,1,42
210,1,12,10,34
211,0,12,1,96
212,1,14,1,40
213,1,13,7,31
214,1,36,5,23
215,0,13,5,55
216,0,14,1,53
217,1,14,5,65
218,0,14,4,39
219,0,13,6,69
220,1,12,8,33
221,0,20,3,28
222,0,13,4,64
223,1,12,10,48
224,0,16,1,45
225,1,14,6,20
226,1,13,10,35
227,1,12,10,99
228,1,13,8,47
229,1,39,8,56
230,1,12,11,102
231,1,12,12,46
232,0,13,6,78
233,0,16,0,65
234,0,13,0,102
235,1,13,10,55
236,0,14,0,57
237,1,13,11,81
238,0,12,4,84
239,0,12,7,80
240,0,15,5,67
241,1,16,12,52
242,1,16,9,97
243,1,14,10,18
244,0,12,7,36
245,0,13,8,48
246,0,13,6,64
247,0,13,4,26
248,1,15,10,102
249,1,13,11,98
250,0,12,7,78
251,0,13,3,35
252,0,13,7,79
253,0,13,5,37
254,0,17,4,84
255,0,12,6,90
256,0,24,2,51
257,1,12,4,24
258,1,13,9,22
259,0,13,3,87
260,1,12,9,40
261,1,13,12,77
262,1,13,11,35
263,0,15,2,54
264,1,12,11,43
265,1,13,3,21
266,0,13,7,50
267,1,13,8,28
268,1,12,4,54
269,0,15,5,58
270,0,13,1,23
271,0,12,4,28
272,0,12,5,40
273,1,13,11,22
274,1,15,11,23
275,1,19,9,79
276,0,13,0,52
277,0,13,6,76
278,1,14,2,22
279,0,16,3,50
280,0,12,5,33
281,1,12,11,24
282,0,14,2,77
283,1,17,10,88
284,1,12,10,83
285,0,13,5,92
286,1,12,10,36
287,0,12,0,74
288,0,12,1,91
289,0,15,7,80
290,1,13,4,19
291,0,12,7,39
292,1,16,12,51
293,1,15,7,29
294,0,13,10,67
295,1,12,11,100
296,0,14,0,100
297,0,13,2,29
298,1,13,8,86
299,1,12,10,92
300,1,13,11,94
301,1,12,12,48
302,1,18,3,70
303,1,20,9,83
304,0,12,7,39
305,0,13,0,99
306,1,18,7,50
307,0,12,5,76
308,1,12,10,31
309,0,14,0,53
310,0,13,10,61
311,0,13,1,76
312,1,13,12,26
313,0,13,1,47
314,0,13,6,32
315,0,12,1,52
316,1,12,10,46
317,1,24,9,62
318,1,12,12,41
319,0,15,1,65
320,1,13,11,47
321,0,12,4,26
322,1,14,8,91
323,0,12,6,70
324,1,13,10,25
325,1,13,3,67
326,0,13,10,71
327,1,12,6,30
328,0,12,4,58
329,0,20,4,89
330,0,12,9,54
331,0,15,6,68
332,1,12,7,35
333,0,13,7,71
334,0,16,7,76
335,1,16,11,59
336,1,12,11,25
337,1,23,8,28
338,1,13,12,29
339,1,14,11,59
340,0,13,8,51
341,0,12,4,48
342,0,18,6,64
343,0,17,1,67
344,0,15,3,78
345,1,20,6,92
346,1,13,5,24
347,0,12,2,42
348,0,12,2,66
349,0,16,2,76
350,1,17,7,66
351,1,12,8,97
352,1,13,10,89
353,0,13,7,68
354,1,12,11,84
355,1,13,3,32
356,0,12,9,45
357,0,28,0,45
358,0,12,2,66
359,0,12,0,51
360,0,15,2,56
361,1,15,10,93
362,0,13,10,53
363,0,13,2,65
364,1,14,10,82
365,1,13,10,63
366,1,13,9,81
367,0,12,3,82
368,0,12,4,73
369,1,13,12,88
370,1,13,9,103
371,0,13,2,65
372,0,14,7,68
373,1,12,10,89
374,0,14,7,58
375,1,19,11,83
376,0,18,5,81
377,0,13,8,64
378,1,13,8,41
379,1,12,6,35
380,0,12,9,74
381,1,14,10,91
382,1,12,5,95
383,1,14,2,89
384,0,15,0,69
385,0,13,4,91
386,0,13,6,58
387,1,13,9,23
388,0,17,10,70
389,0,14,2,34
390,1,13,10,46
391,1,17,8,34
392,0,14,4,43
393,0,13,2,89
394,1,13,9,91
395,1,12,4,55
396,1,12,11,21
397,0,12,1,46
398,0,12,2,56
399,0,13,8,76
400,1,13,9,27
401,0,28,4,68
402,1,13,8,29
403,1,12,5,38
404,1,12,11,89
405,0,12,3,75
406,1,12,12,46
407,1,12,6,23
408,0,14,5,87
409,1,14,9,22
410,1,13,8,67
411,0,14,4,43
412,1,13,9,93
413,1,12,10,67
414,1,12,5,43
415,1,13,6,99
416,1,30,11,38
417,0,14,7,86
418,0,12,1,21
419,0,13,4,44
420,1,15,3,23
421,0,27,3,64
422,1,13,1,66
423,0,14,4,36
424,0,12,2,42
425,1,12,7,101
426,1,15,11,87
427,1,12,11,45
428,0,17,2,72
429,0,12,8,45
430,0,13,6,77
431,1,12,6,21
432,1,13,6,19
433,1,16,12,37
434,1,18,8,29
435,1,19,11,82
436,0,14,5,83
437,1,13,6,36
438,1,13,12,91
439,0,15,6,59
440,0,15,8,46
441,0,13,3,87
442,0,19,6,82
443,1,13,3,22
444,1,13,12,68
445,1,12,11,51
446,1,12,3,102
447,1,12,10,71
448,0,13,9,80
449,0,20,5,70
450,1,12,5,24
451,0,12,4,90
452,1,13,7,49
453,0,13,1,37
454,1,14,11,68
455,1,13,12,40
456,0,16,8,60
457,0,20,6,48
458,0,13,8,39
459,0,14,7,73
460,0,12,5,31
461,0,13,5,86
462,0,12,1,63
463,0,15,3,37
464,0,14,6,37
465,0,15,3,86
466,1,13,12,22
467,0,12,4,37
468,0,12,0,70
469,0,14,8,47
470,0,12,5,60
471,1,13,6,28
472,0,23,2,66
473,1,14,5,18
474,1,12,11,65
475,1,16,11,51
476,0,12,1,36
477,1,12,8,89
478,0,12,8,51
479,1,13,10,86
480,0,12,2,44
481,1,14,11,82
482,0,14,7,69
483,0,12,5,58
484,1,14,11,86
485,1,12,9,70
486,0,15,4,57
487,0,12,4,41
488,0,14,5,91
489,0,12,3,89
490,1,16,8,31
491,1,12,6,42
492,0,12,7,48
493,0,13,1,24
494,1,18,6,38
495,0,15,1,41
496,0,15,2,97
497,0,20,5,72
498,1,41,11,52
499,1,16,11,74
500,1,13,2,32
